[Header],,,,,,,
Investigator Name,Peter Molloy,,,,,,
Project Name,ILML450-11468,,,,,,
Experiment Name,ILML450-11468,,,,,,
Date,15/12/2015,,,,,,
,,,,,,,
[Data],,,,,,,
Sample_Name,Tube_ID,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
C-86,110453,A1,1,Group1,,200190110055,R01C01
C-87,100111,B1,1,Group1,,200190110055,R02C01
C-88,109215,C1,1,Group1,,200190110055,R03C01
C-89,103679,D1,1,Group1,,200190110055,R04C01
C-90,103113,E1,1,Group1,,200190110055,R05C01
C-91,102763,F1,1,Group1,,200190110055,R06C01
C-92,104857,G1,1,Group1,,200190110055,R01C02
C-93,103522,H1,1,Group1,,200190110055,R02C02
C-94,117934,A2,1,Group1,,200190110055,R03C02
C-95,116155,B2,1,Group1,,200190110055,R04C02
C-96,103541,C2,1,Group1,,200190110055,R05C02
C-97,113780,D2,1,Group1,,200190110055,R06C02
C-98,113290,E2,1,Group2,,200190110062,R01C01
C-99,113958,F2,1,Group2,,200190110062,R02C01
C-100,113959,G2,1,Group2,,200190110062,R03C01
C-101,110610,H2,1,Group2,,200190110062,R04C01
C-102,108825,A3,1,Group2,,200190110062,R05C01
C-103,104383,B3,1,Group2,,200190110062,R06C01
C-104,115982,C3,1,Group2,,200190110062,R01C02
C-105,111049,D3,1,Group2,,200190110062,R02C02
C-106,104509,E3,1,Group2,,200190110062,R03C02
C-107,110088,F3,1,Group2,,200190110062,R04C02
C-108,113090,G3,1,Group2,,200190110062,R05C02
C-109,117213,H3,1,Group2,,200190110062,R06C02
C-110,107414,A4,1,Group3,,200190110065,R01C01
C-111,113744,B4,1,Group3,,200190110065,R02C01
C-112,112616,C4,1,Group3,,200190110065,R03C01
C-113,107750,D4,1,Group3,,200190110065,R04C01
C-114,109660,E4,1,Group3,,200190110065,R05C01
C-115,102727,F4,1,Group3,,200190110065,R06C01
C-116,113617,G4,1,Group3,,200190110065,R01C02
C-117,112533,H4,1,Group3,,200190110065,R02C02
C-118,102818,A5,1,Group3,,200190110065,R03C02
C-119,112097,B5,1,Group3,,200190110065,R04C02
C-120,110327,C5,1,Group3,,200190110065,R05C02
C-121,115941,D5,1,Group3,,200190110065,R06C02
C-122,104799,E5,1,Group4,,200190110066,R01C01
C-123,102064,F5,1,Group4,,200190110066,R02C01
C-124,101630,G5,1,Group4,,200190110066,R03C01
C-125,103874,H5,1,Group4,,200190110066,R04C01
C-126,114642,A6,1,Group4,,200190110066,R05C01
C-127,106619,B6,1,Group4,,200190110066,R06C01
C-128,115291,C6,1,Group4,,200190110066,R01C02
C-129,117340,D6,1,Group4,,200190110066,R02C02
C-130,114096,E6,1,Group4,,200190110066,R03C02
C-131,107384,F6,1,Group4,,200190110066,R04C02
C-132,111021,G6,1,Group4,,200190110066,R05C02
C-133,116955,H6,1,Group4,,200190110066,R06C02
C-134,117944,A7,1,Group5,,200190110069,R01C01
C-135,113930,B7,1,Group5,,200190110069,R02C01
C-136,117270,C7,1,Group5,,200190110069,R03C01
C-137,116716,D7,1,Group5,,200190110069,R04C01
C-138,104376,E7,1,Group5,,200190110069,R05C01
C-139,104740,F7,1,Group5,,200190110069,R06C01
C-140,100837,G7,1,Group5,,200190110069,R01C02
C-141,112105,H7,1,Group5,,200190110069,R02C02
C-142,113727,A8,1,Group5,,200190110069,R03C02
C-143,105184,B8,1,Group5,,200190110069,R04C02
C-144,100440,C8,1,Group5,,200190110069,R05C02
C-145,100499,D8,1,Group5,,200190110069,R06C02
C-146,107295,E8,1,Group6,,200190110073,R01C01
C-147,109288,F8,1,Group6,,200190110073,R02C01
C-148,117992,G8,1,Group6,,200190110073,R03C01
